A,B,C,D,E,F,G,H,I,J,L,M,Monto,N,O,P,Q,R,S,Fraude
0,3,78041,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,2,0.0,0.0,18.14,0
0,1,9171,0,0,0.0,0.0,0,0,2,1,1,0.0,1,0,1,0.0,0.0,32.35,0
0,4,34685,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,0.47,0
0,7,22811,0,2,0.024,0.0,0,2,13,0,1,0.0,1,0,1,0.0,0.0,92.31,0
1,4,19496,0,0,0.0,0.0,0,0,2,0,1,0.0,1,0,1,0.0,0.0,8.54,0
6,6,19309,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,1,0.0,0.0,4.62,0
1,9,49201,0,0,0.0,0.0,0,0,2,0,2,0.0,1,0,1,0.0,0.0,18.96,0
0,14,2184,0,0,0.0,0.0,0,0,2,0,1,0.0,1,0,1,0.0,0.0,67.68,0
0,7,2338,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,25.25,1
0,12,162719,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,59.85,0
0,13,6,0,0,0.0,0.0,0,0,13,1,1,0.0,1,0,1,0.0,0.0,25.58,0
0,15,110460,0,0,0.0,0.0,0,0,13,0,1,0.0,1,0,1,0.0,0.0,14.37,0
2,16,7519,0,0,0.0,0.0,0,0,0,0,3,0.0,1,0,3,0.0,0.0,14.67,1
0,8,347828,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,18.24,0
0,17,1301,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,2,0.0,0.0,87.76,0
0,4,327497,0,0,0.0,0.0,0,0,13,1,1,0.0,1,0,1,0.0,0.0,8.9,0
0,1,19911,0,0,0.0,0.0,0,0,2,1,1,0.0,1,0,1,0.0,0.0,0.52,0
0,4,3255,0,0,0.0,0.0,0,0,2,1,2,0.0,1,0,1,0.0,0.0,5.97,0
0,8,23865,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,9.97,0
0,9,93766,0,0,0.0,0.0,0,0,0,0,5,0.0,1,3,5,0.0,0.0,4.11,0
2,8,126247,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,36.59,1
0,9,1174,0,0,0.0,0.0,0,0,13,0,1,0.0,1,0,2,0.0,0.0,21.5,0
0,11,113324,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,8.23,0
0,3,2810,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,12.08,0
0,4,1138,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,2,0.0,0.0,2.79,0
0,8,75161,0,0,0.0,0.0,0,0,2,1,2,0.0,2,0,1,0.0,0.0,18.95,0
0,11,18735,0,1,0.003,0.0,0,0,0,1,1,0.0,1,0,2,0.0,0.0,8.87,0
0,17,859,0,1,0.25,0.0,0,0,17,1,1,0.0,1,0,1,0.0,0.0,45.93,1
0,4,8626,0,0,0.0,0.0,0,0,2,1,1,0.0,1,0,1,0.0,0.0,16.11,0
0,9,64072,0,0,0.0,0.0,0,0,2,0,1,0.0,1,0,2,0.0,0.0,38.2,0
0,13,9423,0,1,0.0,0.0,0,0,17,0,5,0.0,1,0,5,0.0,0.0,25.37,1
0,14,69110,0,1,0.061,0.0,0,0,2,0,3,0.0,1,0,2,0.0,0.0,87.73,0
0,10,421,3,0,0.0,0.001,0,0,0,1,1,0.0,1,0,1,0.0,0.0,19.25,1
0,3,203,0,0,0.0,0.0,0,0,0,0,1,0.0,1,1,1,0.0,0.0,12.54,0
0,1,442,0,0,0.0,0.0,0,0,2,1,2,0.0,1,0,1,0.0,0.0,2.64,0
