A,B,C,D,E,F,G,H,I,J,L,M,Monto,N,O,P,Q,R,S,Fraude
0,10,32651,0,0,0.019,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,16.39,1
0,7,5046,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,3,0.0,0.0,47.82,1
0,9,347815,0,1,0.008,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,90.46,1
0,19,211927,0,0,0.0,0.0,0,0,17,0,2,0.0,1,0,2,0.0,0.0,92.74,1
2,6,107519,0,0,0.0,0.0,0,0,2,1,2,0.0,2,0,2,0.0,0.0,23.39,1
0,8,4,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,42.07,1
0,14,30482,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,54.82,1
1,9,5976,0,1,0.012,0.0,0,0,12,1,2,0.0,1,0,1,0.0,0.0,67.77,1
0,9,388230,0,0,0.0,0.0,0,0,2,1,1,0.0,1,0,1,0.0,0.0,38.45,1
0,5,77513,1,0,0.0,0.0,0,0,0,0,7,0.0,1,0,2,0.0,0.0,32.79,1
1,4,16574,1,0,0.002,0.0,0,0,1,1,1,0.0,1,0,1,0.0,0.0,26.13,1
0,9,1212,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,3,0.0,0.0,25.62,1
0,9,379030,0,0,0.0,0.0,0,0,2,0,8,0.0,1,0,1,0.0,0.0,77.43,1
0,8,428881,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,28.9,1
1,14,1927,0,0,0.0,0.0,0,0,6,0,2,0.0,1,0,2,0.0,0.0,41.07,1
0,5,780,0,0,0.23,0.0,0,0,4,2,2,0.0,2,0,3,0.0,0.0,15.92,1
0,7,869,0,2,0.016,0.0,0,2,5,1,2,0.0,2,0,3,0.0,0.0,27.31,1
2,10,105760,0,0,0.0,0.0,0,0,2,1,2,0.0,2,0,1,0.0,0.0,33.41,1
1,10,99836,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,2,0.0,0.0,27.97,1
0,9,10803,0,0,0.0,0.0,0,0,1,1,1,0.0,1,0,1,0.0,0.0,22.29,1
3,11,99635,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,3,0.0,0.0,32.05,1
1,5,334587,0,1,0.266,0.0,0,0,0,0,1,0.0,1,0,2,0.0,0.0,6.76,1
0,9,1840,1,2,0.04,0.005,0,0,0,1,1,339.702,2,0,1,339.7,339.702,24.12,1
0,14,51416,0,0,0.0,0.0,0,0,14,1,2,0.0,1,0,2,0.0,0.0,62.03,1
0,11,2040,4,0,0.007,0.0,0,0,8,1,1,0.0,1,0,1,0.0,0.0,21.27,1
1,9,12144,0,1,0.009,0.0,0,1,2,1,1,23.626,1,0,1,23.63,23.626,48.64,1
0,10,210135,0,0,0.0,0.0,0,0,17,0,1,0.0,1,0,1,0.0,0.0,34.69,1
0,13,1297,0,0,0.0,0.0,0,0,1,0,1,0.0,1,0,2,0.0,0.0,94.78,1
3,15,134,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,3,0.0,0.0,49.94,1
0,12,913,0,0,0.0,0.0,0,0,13,0,1,0.0,1,0,2,0.0,0.0,29.61,1
0,11,5343,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,90.87,1
2,15,3446,0,2,0.005,0.0,0,0,3,0,4,0.0,1,0,1,0.0,0.0,75.17,1
0,10,5617,0,1,0.0,0.0,0,1,4,0,1,0.0,1,0,2,0.0,0.0,12.82,1
2,11,65535,0,0,0.0,0.0,0,0,1,0,1,0.0,1,0,3,0.0,0.0,31.21,1
2,18,18649,1,0,0.0,0.0,0,0,1,1,1,0.0,1,0,1,0.0,0.0,27.22,1
0,14,1047,0,2,0.0,0.0,0,0,0,1,2,40.261,2,0,3,40.26,40.261,51.58,1
0,7,25447,0,0,0.0,0.0,0,0,1,0,2,0.0,2,0,2,0.0,0.0,61.75,1
1,11,17304,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,87.17,1
